"Issue","ANES_Variable","Cor_to_Party_ID","Normalized_Variance","Variance","Point_Scale","Type","Source","URL"
"urban_unrest","v201429",0.641563379683091,0.773676216119635,5.41573351283745,7,"Security","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/urban_unrest.md"
"gov_assistance_blacks","v201258",0.567702406033936,0.598924163873415,4.19246914711391,7,"Economic","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/gov_assistance_blacks.md"
"blks_get_less_than_deserve","v202302",0.565174400694839,0.392122391084737,1.96061195542369,5,"Civil Rights","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/blks_get_less_than_deserve.md"
"protestors_actions","v201432x",0.55897881170181,0.451449481547474,2.25724740773737,5,"Security","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/protestors_actions.md"
"gov_guarantees_job","v201255",0.554517948006595,0.555864442454662,3.89105109718263,7,"Economic","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/gov_guarantees_job.md"
"climate_chng_severe","v202332",0.551409812115504,0.366794032237222,1.83397016118611,5,"Security","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/climate_chng_severe.md"
"gov_services","v201246",0.549632158437726,0.471727632686293,3.30209342880405,7,"Economic","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/gov_services.md"
"climate_chng_importance","v202333",0.542188273395393,0.366947366131639,1.8347368306582,5,"Moral","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/climate_chng_importance.md"
"fs_border_security","v201308x",0.535563240489007,0.362865427643579,1.8143271382179,5,"Economic","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/fs_border_security.md"
"immigration_crime","v202239x",0.532701940687719,0.229092295451881,1.60364606816317,7,"Security","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/immigration_crime.md"
"slavery_still_affects","v202301",0.522250027894502,0.425821080420713,2.12910540210357,5,"Civil Rights","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/slavery_still_affects.md"
"fs_environment","v201323x",0.504731446756452,0.251336775359217,1.25668387679608,5,"Economic","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/fs_environment.md"
"gov_reduce_income_inequality","v202259x",0.500406817336256,0.68879990025728,4.82159930180096,7,"Economic","new","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/gov_reduce_income_inequality.md"
"blks_wrk_way_up","v202300",0.490335870011065,0.432396500159295,2.16198250079647,5,"Civil Rights","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/blks_wrk_way_up.md"
"fs_welfare","v201314x",0.482530733222483,0.310820300034594,1.55410150017297,5,"Economic","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/fs_welfare.md"
"blks_try_harder","v202303",0.477215909921725,0.37330229090034,1.8665114545017,5,"Civil Rights","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/blks_try_harder.md"
"fs_aid_poor","v201320x",0.469529836123125,0.250779176831395,1.25389588415698,5,"Economic","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/fs_aid_poor.md"
"worry_less_abt_eqlty","v202261",0.464870982646416,0.394509220141004,1.97254610070502,5,"Civil Rights","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/worry_less_abt_eqlty.md"
"pref_hiring_blks","v202252x",0.464623943298066,0.34212538733511,1.36850154934044,4,"Civil Rights","paper","https://raw.githubusercontent.com/Watts-Lab/deliberation-topics/main/topics/anes2020/pref_hiring_blks.md"
